topic_id,topic_name,rank,score,title,snippet
0,Health/Society,1,0.9332582418541774,'They thought he was too young for heart disease',A mother whose son died from heart disease urges parents to know the signs and trust their instincts.…
0,Health/Society,2,0.9272165969967797,"Ukraine: Our parents wouldn’t leave Bucha, then Russia moved in","Sisters Lesia and Galya lost touch with their parents, who did not want to flee their hometown, Bucha.…"
0,Health/Society,3,0.9261831449252245,Riot police in hazmat suits clash with protesters,"Protests in Guangzhou continue a week of unrest in the country, aimed at the country's zero-Covid policy.…"
0,Health/Society,4,0.9199995863921153,March 4 Justice: Has anything changed for Australian women?,"One year ago, rape and misconduct allegations in Canberra sparked massive protests nationwide.…"
0,Health/Society,5,0.9199991660922417,Cuddly toy reviews used for headphones on Amazon,"Sellers are boosting ratings of electronics with reviews for completely different products, Which? finds.…"
1,International Conflict,1,0.9384606968187875,Ukraine war in maps: Tracking the Russian invasion,Russian advances grind to a halt in many areas as Ukrainian forces launch counterattacks - but fighting is ongoing in Mariupol.…
1,International Conflict,2,0.9384606968187875,Ukraine war in maps: Tracking the Russian invasion,Russian advances grind to a halt in many areas as Ukrainian forces launch counterattacks - but fighting is ongoing in Mariupol.…
1,International Conflict,3,0.9384606968187875,Ukraine war in maps: Tracking the Russian invasion,Russian advances grind to a halt in many areas as Ukrainian forces launch counterattacks - but fighting is ongoing in Mariupol.…
1,International Conflict,4,0.9333331647979443,Ukraine conflict: Oil price soars to highest level since 2008,Consumers are feeling the impact of higher energy costs as fuel prices and household bills jump.…
1,International Conflict,5,0.9333331647979443,Ukraine conflict: Oil price soars to highest level since 2008,Consumers are feeling the impact of higher energy costs as fuel prices and household bills jump.…
2,Domestic Politics,1,0.9332038214580132,Austrian Grand Prix 2023: Max Verstappen on pole ahead of Charles Leclerc,Max Verstappen fends off a challenge from Ferrari's Charles Leclerc to take pole position at the Austrian Grand Prix.…
2,Domestic Politics,2,0.9272723126036668,TikTok limits services as Netflix pulls out of Russia,"TikTok suspends live streaming and new content from its platform, while Russians can no longer access Netflix.…"
2,Domestic Politics,3,0.9272035281934328,"Cannes 2023: Harrison Ford, Johnny Depp and Wes Anderson return to film festival","Films from Harrison Ford, Johnny Depp and Leonardo DiCaprio will premiere at the festival this week.…"
2,Domestic Politics,4,0.9271662430914765,Ukraine war: Boris Johnson sparks fury after comparison to Brexit,Donald Tusk and Conservative peer Lord Barwell are among those criticising Boris Johnson's comments.…
2,Domestic Politics,5,0.927139814309819,Joanne Tulip: Justice Secretary blocks killer's move to open prison,"Joanne Tulip was stabbed 60 times on Christmas Day 1997 by Steven Ling, who she had met that day.…"
3,Global Sports Events,1,0.9652045348378614,World Athletics Championships 2023: Sha'Carri Richardson wins gold in women's 100m final,"Watch USA's Sha'Carri Richardson win her first 100m world title, beating Jamaica's Shericka Jackson and Shelley-Ann Fraser-Pryce, with Dina …"
3,Global Sports Events,2,0.9554565947746363,World Athletics Championships: GB's Keely Hodgkinson narrowly misses out on gold in dramatic 800m,Watch as Great Britain's Keely Hodgkinson wins silver after finishing just 0.08 seconds behind the USA's Athing Mu with a time of one minute…
3,Global Sports Events,3,0.9529119154979039,World Athletics Championships: GB's Keely Hodgkinson narrowly misses out on gold in dramatic 800m,Watch as Great Britain's Keely Hodgkinson wins silver after finishing just 0.08 seconds behind the USA's Athing Mu with a time of 1minute an…
3,Global Sports Events,4,0.95290939147513,Masters 2023: Judd Trump wins final-frame decider against Ryan Day as Stuart Bingham beats Kyren Wilson,Judd Trump wins a final-frame decider 6-5 against Ryan Day in the first round of the Masters and Stuart Bingham beats fellow Englishman Kyre…
3,Global Sports Events,5,0.9528655304857926,World Snooker Championship 2023 results: Ronnie O'Sullivan's hopes ended by Luca Brecel in last eight,Ronnie O'Sullivan's hopes of a record eighth world title end as Luca Brecel stages a remarkable fightback to win 13-10.…
4,Football / Premier League,1,0.9678423078925089,Real Madrid 3-1 Paris St-Germain (3-2 agg): Karim Benzema hat-trick inspires superb Real fightback,Karim Benzema scores a superb second-half hat-trick as Real Madrid produce a stirring fightback at a raucous Bernabeu to reach the Champions…
4,Football / Premier League,2,0.9599533394562121,'Man City prove a point to anyone who doubted them' - MOTD2 analysis,MOTD2 pundit Danny Murphy feels Manchester City played like they had a point to prove against Manchester United and their second-half perfor…
4,Football / Premier League,3,0.9578505128258947,'Phil Foden sets the tempo' - how Man City 'steamrollered' Man Utd,Match of the Day 2's Danny Murphy and Troy Deeney analyse how the combination play between Phil Foden and Kevin de Bruyne helped Manchester …
4,Football / Premier League,4,0.9578143409839787,Aberdeen 1-3 BK Hacken (agg 3-5): Premiership side in Conference League after defeat,Aberdeen must settle for the Europa Conference League group stage this season after a gut-wrenching defeat by Swedish champions BK Hacken in…
4,Football / Premier League,5,0.9577773171850562,Guardiola & Beard win manager awards,"Manchester City boss Pep Guardiola has been named as the Premier League Manager of the Season, with Liverpool's Matt Beard winning the Women…"
